timestamp,data-value
1725254845.19344,0.07597211748361588
1725254865.382739,3.6299118995666504
1725254868.416885,7.16949462890625
1725254871.459965,2.121835470199585
1725254874.499031,2.3365912437438965
1725254878.525987,2.826521635055542
1725254880.55543,2.5764718055725098
1725254883.582667,1.8729819059371948
1725254886.624803,2.0482561588287354
1725254889.635783,1.456032633781433
1725254893.692086,1.8340985774993896
1725254896.720221,2.4921247959136963
1725254900.753008,9.620343208312988
1725254903.796823,12.88774299621582
1725254906.823981,9.794421195983887
1725254909.867771,9.789037704467773
1725254912.898014,9.795618057250977
1725254915.922448,9.780662536621094
1725254918.950801,9.704092025756836
1725254921.993513,9.79262638092041
1725254925.035689,9.727422714233398
1725254928.069876,9.821340560913086
1725254931.090628,9.750154495239258
1725254935.145875,9.693324089050293
1725254938.172061,9.759725570678711
1725254941.205586,-1.1736794710159302
1725254944.249425,-0.29312077164649963
1725254947.287441,-0.1453639715909958
1725254950.316884,-0.008973085321485996
1725254953.359597,0.9966106414794922
1725254956.38794,0.8051848411560059
1725254958.399995,1.0456634759902954
1725254961.428962,1.0791629552841187
1725254964.457904,0.9864411354064941
1725254967.485461,1.0247262716293335
1725254970.519933,0.8626125454902649
1725254973.561883,0.8243274092674255
1725254976.58873,0.9535398483276367
1725254979.628131,0.9774680733680725
1725254982.668273,0.9302098155021667
1725254985.710687,0.802193820476532
1725254988.748668,4.701896667480469
1725254991.770414,0.46360939741134644
1725254994.800945,0.8117650747299194
1725254997.844276,1.7934205532073975
1725255001.886159,0.9577272534370422
1725255004.926255,10.142577171325684
1725255007.974253,9.66520881652832
1725255011.016802,9.709476470947266
1725255014.063952,5.860620975494385
1725255017.090362,-0.44327038526535034
1725255020.130547,7.244868755340576
1725255023.170817,-4.198207378387451
1725255026.208276,-0.9960124492645264
1725255029.237587,-1.7910277843475342
1725255032.276712,-0.389431893825531
1725255035.318913,-0.059820566326379776
1725255039.356044,0.96370929479599
1725255042.38011,0.6711867451667786
1725255045.406665,0.33020952343940735
1725255048.42446,0.3248256742954254
1725255051.45129,2.3515465259552
1725255054.494217,-0.4342973232269287
1725255057.530701,0.03349951654672623
1725255060.560208,-0.4450650215148926
1725255063.576843,0.3601198196411133
1725255066.58439,1.4015958309173584
1725255070.614872,1.0408778190612793
