x,y,z
-7.22452974319458,2.6321048736572266,5.6584272384643555
-7.607979774475098,2.7810580730438232,5.714658737182617
-7.511070251464844,2.802593469619751,5.56869649887085
-7.479365348815918,2.830111026763916,5.758925914764404
-7.7838521003723145,0.4588237404823303,5.474180221557617
-17.639888763427734,-9.301499366760254,2.0440688133239746
-4.1282172203063965,-7.437490940093994,6.593422889709473
-3.3828530311584473,-4.743771076202393,3.7770705223083496
-5.6069817543029785,-5.191826820373535,4.690530776977539
5.67338228225708,-5.571687698364258,6.038288116455078
5.639284610748291,-5.9575300216674805,5.955137252807617
5.170889854431152,-4.990231513977051,6.049055576324463
4.18983268737793,-5.023132801055908,6.345765590667725
5.376074314117432,-4.9160542488098145,6.548557281494141
5.680561065673828,-5.170291423797607,6.193222999572754
5.9784674644470215,-4.905884742736816,5.843871116638184
5.4173502922058105,-4.938187599182129,6.472585201263428
5.400600910186768,-4.966901779174805,6.486343860626221
5.708676815032959,-13.223336219787598,6.241677761077881
5.881557941436768,-4.745565414428711,6.053243160247803
11.774481773376465,-4.905884742736816,7.8556365966796875
6.020341873168945,-5.000401020050049,5.952146530151367
5.870790481567383,-5.635097503662109,6.135197162628174
5.944369792938232,-5.357530117034912,6.013163089752197
4.713860511779785,-5.242076396942139,6.124429702758789
4.7503509521484375,-5.175076961517334,6.661019802093506
4.898108005523682,-5.270790100097656,6.705287456512451
4.883750915527344,-5.189434051513672,6.700501441955566
5.023132801055908,-5.135595798492432,6.573681831359863
4.945964336395264,-5.183452129364014,6.6245293617248535
5.431109428405762,-5.173880577087402,6.3014984130859375
5.551348686218262,-5.178666591644287,6.198009014129639
5.556134223937988,-5.691328525543213,6.15972375869751
5.570491313934326,-5.3934221267700195,6.1603217124938965
3.7537405490875244,-5.4041900634765625,6.975078105926514
4.246662139892578,-5.449055194854736,7.070192813873291
4.240679740905762,-5.453841209411621,7.011568546295166
4.340580463409424,-5.30129861831665,6.8823561668396
4.318446636199951,-5.251049518585205,6.8859453201293945
4.3280181884765625,-5.274977684020996,6.879963397979736
5.143372058868408,-5.199005603790283,6.484549522399902
