timestamp,temperature,humidity,heatindex
20240718151224,18.70,63.00,"18.27
"
20240718152224,18.70,63.00,"18.27
"
20240718153225,18.70,62.00,"18.24
"
20240718154225,18.70,61.00,"18.22
"
20240718155225,18.60,61.00,"18.11
"
20240718160225,18.40,60.00,"17.86
"
20240718161226,18.30,60.00,"17.75
"
20240718162226,18.20,60.00,"17.64
"
20240718163226,18.10,60.00,"17.53
"
20240718164226,18.10,59.00,"17.51
"
20240718165226,18.00,59.00,"17.40
"
20240718170227,18.00,58.00,"17.37
"
20240718171227,18.10,57.00,"17.45
"
20240718172227,18.20,56.00,"17.54
"
20240718173227,18.40,55.00,"17.73
"
20240718174228,18.60,54.00,"17.93
"
20240718175228,18.80,53.00,"18.12
"
20240718180228,18.90,53.00,"18.23
"
20240718181228,19.10,52.00,"18.42
"
20240718182228,19.20,52.00,"18.53
"
20240718183229,19.30,51.00,"18.62
"
20240718184229,19.30,52.00,"18.64
"
20240718185229,19.50,51.00,"18.84
"
20240718190229,19.60,51.00,"18.95
"
20240718191230,19.70,52.00,"19.08
"
20240718192230,19.80,52.00,"19.19
"
20240718193230,19.80,52.00,"19.19
"
20240718194230,19.90,52.00,"19.30
"
20240718195231,19.90,51.00,"19.28
"
20240718200231,19.90,51.00,"19.28
"
20240718201231,20.00,50.00,"19.36
"
20240718202231,20.10,50.00,"19.47
"
20240718203231,20.10,49.00,"19.44
"
20240718204232,20.00,49.00,"19.33
"
20240718205232,19.90,49.00,"19.22
"
20240718210232,19.80,49.00,"19.11
"
20240718211232,19.70,49.00,"19.00
"
20240718212233,19.70,48.00,"18.98
"
20240718213233,19.60,48.00,"18.87
"
20240718214233,19.40,49.00,"18.67
"
20240718215233,19.30,49.00,"18.56
"
20240718220233,19.10,50.00,"18.37
"
20240718221234,18.90,50.00,"18.15
"
20240718222234,18.80,50.00,"18.04
"
20240718223234,18.60,51.00,"17.85
"
20240718224234,18.50,51.00,"17.74
"
20240718225234,18.30,51.00,"17.52
"
20240718230235,18.20,51.00,"17.41
"
20240718231235,18.10,51.00,"17.30
"
20240718232235,18.00,52.00,"17.21
"
20240718233235,17.90,52.00,"17.10
"
20240718234236,17.80,52.00,"16.99
"
20240718235236,17.70,52.00,"16.88
"
20240719000236,17.60,52.00,"16.77
"
20240719001236,17.50,52.00,"16.66
"
20240719002236,17.50,52.00,"16.66
"
20240719003237,17.40,52.00,"16.55
"
20240719004236,17.30,53.00,"16.47
"
20240719005236,17.30,53.00,"16.47
"
20240719010236,17.20,53.00,"16.36
"
20240719011236,17.10,53.00,"16.25
"
20240719012237,17.10,53.00,"16.25
"
20240719013237,17.00,53.00,"16.14
"
20240719014237,16.90,53.00,"16.03
"
20240719015237,16.90,53.00,"16.03
"
20240719020238,16.80,53.00,"15.92
"
20240719021238,16.80,53.00,"15.92
"
20240719022238,16.70,53.00,"15.81
"
20240719023238,16.60,53.00,"15.70
"
20240719024238,16.60,53.00,"15.70
"
20240719025239,16.50,53.00,"15.59
"
20240719030239,16.40,53.00,"15.48
"
20240719031239,16.40,53.00,"15.48
"
20240719032239,16.30,53.00,"15.37
"
20240719033240,16.30,53.00,"15.37
"
20240719034240,16.20,53.00,"15.26
"
20240719035240,16.20,53.00,"15.26
"
20240719040240,16.10,53.00,"15.15
"
20240719041241,16.10,53.00,"15.15
"
20240719042241,16.00,53.00,"15.04
"
20240719043241,16.00,53.00,"15.04
"
20240719044241,15.90,53.00,"14.93
"
20240719045241,15.90,53.00,"14.93
"
20240719050242,15.80,53.00,"14.82
"
20240719051242,15.80,53.00,"14.82
"
20240719052242,15.80,53.00,"14.82
"
20240719053242,15.70,53.00,"14.71
"
20240719054243,15.70,53.00,"14.71
"
20240719055243,15.60,53.00,"14.60
"
20240719060243,15.60,53.00,"14.60
"
20240719061243,15.60,53.00,"14.60
"
20240719062243,15.50,53.00,"14.49
"
20240719063244,15.50,52.00,"14.46
"
20240719064244,15.50,52.00,"14.46
"
20240719065244,15.60,52.00,"14.57
"
20240719070244,15.70,52.00,"14.68
"
20240719071245,16.00,51.00,"14.99
"
20240719072245,16.30,51.00,"15.32
"
20240719073245,16.50,51.00,"15.54
"
20240719074245,16.60,51.00,"15.65
"
20240719075245,16.70,51.00,"15.76
"
20240719080246,16.80,51.00,"15.87
"
20240719081246,16.90,51.00,"15.98
"
20240719082246,17.00,51.00,"16.09
"
20240719083246,17.20,51.00,"16.31
"
20240719084247,17.40,51.00,"16.53
"
20240719085247,17.50,51.00,"16.64
"
20240719090247,17.60,51.00,"16.75
"
20240719091247,17.70,50.00,"16.83
"
20240719092247,17.90,50.00,"17.05
"
20240719093248,18.00,50.00,"17.16
"
20240719094248,18.20,50.00,"17.38
"
20240719095248,18.40,50.00,"17.60
"
20240719100248,18.50,50.00,"17.71
"
20240719101249,18.50,50.00,"17.71
"
20240719102249,18.60,49.00,"17.79
"
20240719103249,18.80,49.00,"18.01
"
20240719104249,18.90,49.00,"18.12
"
20240719105249,19.00,48.00,"18.21
"
20240719110250,19.10,48.00,"18.32
"
20240719111250,19.10,48.00,"18.32
"
20240719112250,19.20,48.00,"18.43
"
20240719113250,19.30,48.00,"18.54
"
20240719114250,19.50,48.00,"18.76
"
20240719115251,19.80,47.00,"19.06
"
20240719120251,20.00,47.00,"19.28
"
20240719121251,20.10,46.00,"19.37
"
20240719122251,20.30,46.00,"19.59
"
20240719123252,20.40,46.00,"19.70
"
20240719124252,20.40,46.00,"19.70
"
20240719125252,20.40,46.00,"19.70
"
20240719130252,20.50,46.00,"19.81
"
20240719131252,20.50,46.00,"19.81
"
20240719132253,20.50,46.00,"19.81
"
20240719133253,20.60,45.00,"19.89
"
20240719134253,20.90,45.00,"20.22
"
20240719135253,21.00,45.00,"20.33
"
20240719140254,21.40,45.00,"20.77
"
